 ,Value,Name,Part,Quantity,Pattern
C1,,CAP,Part 1,1,CAP-2.54/6.6x3
C2,,CAP,Part 1,1,CAP-2.54/6.6x3
D1,,LED,Part 1,1,LED100
D2,,LED,Part 1,1,LED100
D3,5mm Round Tri-Color,LED(TRI)-5R,Part 1,1,LED(TRI)-5R
J1,,HDR-1x2,Part 1,1,HDR-1x2
J2,,HDR-1x2,Part 1,1,HDR-1x2
J3,,644456-6,Part 1,1,HDR-1x6T/2.54/15x2
J4,,644456-6,Part 1,1,HDR-1x6T/2.54/15x2
R1,,RES,Part 1,1,RES-7.62/4x1.5
R2,,RES,Part 1,1,RES-7.62/4x1.5
R4,,RES,Part 1,1,RES-7.62/4x1.5
R6,,RES,Part 1,1,RES-7.62/4x1.5
R7,1.5k,RES,Part 1,1,RES-7.62/4x1.5
R8,68,RES,Part 1,1,RES-7.62/4x1.5
R9,68,RES,Part 1,1,RES-7.62/4x1.5
R11,FUSE,RES_1210,Part 1,1,RES_1206
R12,,RES,Part 1,1,RES-7.62/4x1.5
R13,,RES,Part 1,1,RES-7.62/4x1.5
R14,,RES,Part 1,1,RES-7.62/4x1.5
S1,,PUSHBUTTON_NO,Part 1,1,BUTTON
S2,,PUSHBUTTON_NO,Part 1,1,BUTTON
U1,,ATTINY84_PDIP,Part 1,1,DIP-14
U3,,REG1117-3.3,Part 1,1,SOT223-4
U4,,UP2_AH_TH,Part 1,1,up2-ah-th
,,,,25,
